#,SALVATION_DITCH,WILLOW_CREEK_DITCH,RED_MOUNTAIN_DITCH,HOLDEN_DITCH,HERRICK_DITCH
#,3800981,3801101,3801790,3800755,3800749
#Date,AF,AF,AF,AF,AF
2010-07-01,168.66,66.25,159.29,56.08,32.37
2010-08-01,86.64,35.52,81.82,31.18,16.63
2010-09-01,72.88,13.37,68.82,0,13.99
2010-10-01,24.7,4.53,23.33,0,4.74
2010-11-01,0,0,0,0,0
2010-12-01,0,0,0,0,0
2011-01-01,0,0,0,0,0
2011-02-01,0,0,0,0,0
2011-03-01,0,0,0,0,0
2011-04-01,0,0,0,0,0
2011-05-01,60.78,11.15,57.41,0,11.67
2011-06-01,169.84,57.03,160.41,41.1,32.6
2011-07-01,169.48,66.61,160.07,56.41,32.53
2011-08-01,88.24,35.97,83.34,31.41,16.94
2011-09-01,69.95,12.83,66.06,0,13.43
2011-10-01,15.09,2.77,14.25,0,2.9
2011-11-01,0,0,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,0,0
2012-04-01,21.24,3.9,20.06,0,4.08
2012-05-01,120.7,31.34,114,14.61,23.16
2012-06-01,186.57,68.58,176.21,54.57,35.81
2012-07-01,171.43,67.46,161.91,57.21,32.9
2012-08-01,87.39,34.56,82.54,29.42,16.77
2012-09-01,70.53,12.94,66.6,0,13.54
2012-10-01,19.55,3.59,18.46,0,3.75
2012-11-01,0,0,0,0,0
2012-12-01,0,0,0,0,0
2013-01-01,0,0,0,0,0
2013-02-01,0,0,0,0,0
2013-03-01,0,0,0,0,0
2013-04-01,0,0,0,0,0
2013-05-01,89.98,19.21,84.98,4.29,17.27
2013-06-01,178.61,65.33,168.7,51.73,34.28
2013-07-01,166.86,65.46,157.59,55.35,32.02
2013-08-01,85.86,34.68,81.09,30.06,16.48
2013-09-01,75.56,13.86,71.36,0,14.51
2013-10-01,12.23,2.24,11.55,0,2.35
2013-11-01,0,0,0,0,0
2013-12-01,0,0,0,0,0
