#,SALVATION_DITCH,WILLOW_CREEK_DITCH,RED_MOUNTAIN_DITCH,HOLDEN_DITCH,HERRICK_DITCH
#,3800981,3801101,3801790,3800755,3800749
#Date,AF,AF,AF,AF,AF
2002-02-01,0,0,0,0,0
2002-03-01,0,0,0,0,0
2002-04-01,0,0,0,0,0
2002-05-01,555,81,284,0,126
2002-06-01,1597,500,1032,838,569
2002-07-01,1773,549,1151,931,749
2002-08-01,1781,601,1121,714,1026
2002-09-01,1230,282,581,0,590
2002-10-01,911,251,430,0,525
2002-11-01,0,0,0,0,0
2002-12-01,0,0,0,0,0
2003-01-01,0,0,0,0,0
2003-02-01,0,0,0,0,0
2003-03-01,0,0,0,0,0
2003-04-01,0,0,0,0,0
2003-05-01,507,74,260,0,116
2003-06-01,1346,391,870,602,480
2003-07-01,1715,528,1113,891,724
2003-08-01,1455,513,916,632,837
2003-09-01,843,193,398,0,405
2003-10-01,1521,419,718,0,876
2003-11-01,0,0,0,0,0
2003-12-01,0,0,0,0,0
2004-01-01,0,0,0,0,0
2004-02-01,0,0,0,0,0
2004-03-01,0,0,0,0,0
2004-04-01,38,0,21,0,15
2004-05-01,622,102,319,432,142
2004-06-01,1325,418,856,707,472
2004-07-01,1444,443,938,745,610
2004-08-01,1339,454,843,542,771
2004-09-01,1366,313,645,0,655
2004-10-01,703,194,332,0,405
2004-11-01,0,0,0,0,0
2004-12-01,0,0,0,0,0
2005-01-01,0,0,0,0,0
2005-02-01,0,0,0,0,0
2005-03-01,0,0,0,0,0
2005-04-01,0,0,0,0,0
2005-05-01,600,87,308,0,137
2005-06-01,1201,339,776,503,428
2005-07-01,1711,522,1111,875,722
2005-08-01,1302,571,820,814,749
2005-09-01,965,238,456,104,463
2005-10-01,973,268,459,0,560
2005-11-01,0,0,0,0,0
2005-12-01,0,0,0,0,0
2006-01-01,0,0,0,0,0
2006-02-01,0,0,0,0,0
2006-03-01,0,0,0,0,0
2006-04-01,84,0,45,0,32
2006-05-01,804,178,412,2327,183
2006-06-01,1489,470,962,793,531
2006-07-01,1309,418,850,727,553
2006-08-01,1412,494,889,604,813
2006-09-01,1404,322,663,0,674
2006-10-01,48,14,23,0,28
2006-11-01,0,0,0,0,0
2006-12-01,0,0,0,0,0
2007-01-01,0,0,0,0,0
2007-02-01,0,0,0,0,0
2007-03-01,0,0,0,0,0
2007-04-01,49,0,26,0,19
2007-05-01,681,131,349,1219,155
2007-06-01,1538,483,994,811,548
2007-07-01,1838,560,1194,938,776
2007-08-01,1613,554,1015,668,928
2007-09-01,1523,349,719,0,731
2007-10-01,1055,291,498,0,608
2007-11-01,0,0,0,0,0
2007-12-01,0,0,0,0,0
2008-01-01,0,0,0,0,0
2008-02-01,0,0,0,0,0
2008-03-01,0,0,0,0,0
2008-04-01,0,0,0,0,0
2008-05-01,384,56,197,0,88
2008-06-01,1283,367,829,554,457
2008-07-01,1512,466,982,788,638
2008-08-01,1412,482,889,578,812
2008-09-01,1356,311,640,0,650
2008-10-01,543,150,257,0,313
2008-11-01,0,0,0,0,0
2008-12-01,0,0,0,0,0
2009-01-01,0,0,0,0,0
2009-02-01,0,0,0,0,0
2009-03-01,0,0,0,0,0
2009-04-01,0,0,0,0,0
2009-05-01,618,97,317,289,141
2009-06-01,1268,399,820,671,452
2009-07-01,1463,449,950,757,618
2009-08-01,1338,466,842,569,770
2009-09-01,1397,320,660,0,670
2009-10-01,146,41,69,0,84
2009-11-01,0,0,0,0,0
2009-12-01,0,0,0,0,0
2010-01-01,0,0,0,0,0
2010-02-01,0,0,0,0,0
2010-03-01,0,0,0,0,0
2010-04-01,0,0,0,0,0
2010-05-01,403,59,207,0,92
2010-06-01,1364,425,881,710,486
2010-07-01,1533,473,996,801,647
2010-08-01,1444,507,909,624,831
2010-09-01,1458,334,688,0,699
2010-10-01,823,227,389,0,474
2010-11-01,0,0,0,0,0
2010-12-01,0,0,0,0,0
2011-01-01,0,0,0,0,0
2011-02-01,0,0,0,0,0
2011-03-01,0,0,0,0,0
2011-04-01,0,0,0,0,0
2011-05-01,320,46,164,0,73
2011-06-01,1306,380,844,587,466
2011-07-01,1541,476,1000,806,651
2011-08-01,1471,514,926,628,847
2011-09-01,1399,321,661,0,671
2011-10-01,503,139,238,0,290
2011-11-01,0,0,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,0,0
2012-04-01,62,0,33,0,24
2012-05-01,635,131,326,1461,145
2012-06-01,1435,457,927,780,512
2012-07-01,1558,482,1012,817,658
2012-08-01,1457,494,917,588,838
2012-09-01,1411,324,666,0,677
2012-10-01,652,180,308,0,375
2012-11-01,0,0,0,0,0
2012-12-01,0,0,0,0,0
2013-01-01,0,0,0,0,0
2013-02-01,0,0,0,0,0
2013-03-01,0,0,0,0,0
2013-04-01,0,0,0,0,0
2013-05-01,474,80,243,429,108
2013-06-01,1374,436,888,739,490
2013-07-01,1517,468,985,791,640
2013-08-01,1431,495,901,601,824
2013-09-01,1511,347,714,0,725
2013-10-01,408,112,193,0,235
2013-11-01,0,0,0,0,0
2013-12-01,0,0,0,0,0
